label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized
1,839.01,20.46,0.9158105968555543,80.0,40.0,31.090625,0.5,5.95,2.85,1600.0,2.088757396449704,0.52438125
2,332.62,20.57,0.8477774911873441,85.0,40.0,12.325625,0.53125,4.01,1.97,1600.0,2.034188034188034,0.2078875
3,563.13,15.78,0.9170511975390024,60.0,40.0,20.8675,0.375,4.89,2.4,1600.0,2.0422535211267605,0.35195624999999997
4,894.21,24.28,0.9130329957980299,91.0,40.0,33.13625,0.56875,3.34,5.35,1600.0,0.6246056782334385,0.55888125
5,1610.42,29.01,0.8658221420215998,112.0,40.0,59.67625,0.7,7.79,4.79,1600.0,1.6267605633802817,1.0065125000000001
6,1048.13,25.09,0.9104947767863684,111.0,40.0,38.84,0.69375,7.76,5.14,1600.0,1.5081967213114753,0.6550812500000001
7,1202.09,22.84,0.9180158944833005,87.0,40.0,44.545,0.54375,6.34,4.71,1600.0,1.3476702508960574,0.75130625
8,1538.47,23.6,0.9392382384134601,69.0,40.0,57.01,0.43125,5.52,5.33,1600.0,1.0348101265822784,0.96154375
9,1903.22,27.42,0.922077497589436,98.0,40.0,70.52625,0.6125,7.64,5.5,1600.0,1.3895705521472392,1.1895125
10,930.53,22.32,0.9305749995783223,98.0,40.0,34.481875,0.6125,3.39,6.58,1600.0,0.5153846153846153,0.5815812499999999
11,774.46,17.31,0.9276738454078952,44.0,40.0,28.69875,0.275,5.26,3.24,1600.0,1.625,0.4840375
12,3854.39,54.32,0.719106462382746,226.0,40.0,142.829375,1.4125,13.32,11.27,1600.0,1.1826347305389222,2.40899375
13,1026.76,19.73,0.93928593470345,75.0,40.0,38.048125,0.46875,4.89,4.23,1600.0,1.155378486055777,0.641725
14,1469.35,25.43,0.945732058143448,84.0,40.0,54.44875,0.525,5.52,5.21,1600.0,1.058252427184466,0.9183437499999999
15,1528.38,26.93,0.9007932563271636,109.0,40.0,56.63625,0.68125,5.3,7.29,1600.0,0.7268518518518519,0.9552375000000001
16,1.7,0.71,0.808,0.0,40.0,0.063125,0.0,0.2,0.24,1600.0,0.8571428571428571,0.0010625
17,1374.65,22.48,0.9481061839839933,67.0,40.0,50.939375,0.41875,5.48,5.04,1600.0,1.0869565217391304,0.8591562500000001
18,1282.83,21.68,0.9511417352374759,71.0,40.0,47.536875,0.44375,5.55,4.54,1600.0,1.2230483271375465,0.8017687499999999
1,138.44,24.39,0.8016407852329329,88.0,40.0,5.13,0.55,3.22,1.7,1600.0,1.891089108910891,0.086525
2,176.59,13.25,0.8091815441687921,46.0,40.0,6.54375,0.2875,3.83,1.16,1600.0,3.289855072463768,0.11036875
3,211.54,14.97,0.7976341897735945,41.0,40.0,7.83875,0.25625,4.99,1.16,1600.0,4.2898550724637685,0.13221249999999998
4,474.18,22.24,0.8370998957868095,88.0,40.0,17.57125,0.55,3.76,2.97,1600.0,1.2670454545454546,0.29636250000000003
5,2.29,0.95,0.6974358974358974,1.0,40.0,0.085,0.00625,0.32,0.25,1600.0,1.2666666666666666,0.00143125
6,1460.58,23.44,0.938762236170282,71.0,40.0,54.12375,0.44375,5.89,4.91,1600.0,1.1993127147766323,0.9128624999999999
7,1318.96,21.43,0.9350160218087905,54.0,40.0,48.875625,0.3375,4.92,5.21,1600.0,0.9449838187702265,0.82435
8,1336.72,23.24,0.9220835126990959,79.0,40.0,49.53375,0.49375,5.68,4.81,1600.0,1.182456140350877,0.83545
9,987.04,18.83,0.9359177341713445,62.0,40.0,36.57625,0.3875,4.64,4.06,1600.0,1.1410788381742738,0.6169
10,1754.53,25.84,0.9415821868211441,99.0,40.0,65.01625,0.61875,7.05,5.55,1600.0,1.2705167173252279,1.09658125
11,1357.26,22.49,0.9533128783481217,76.0,40.0,50.295,0.475,5.19,5.25,1600.0,0.9903536977491961,0.8482875
12,1199.2,21.32,0.8960089725656245,56.0,40.0,44.438125,0.35,5.65,4.27,1600.0,1.3241106719367588,0.7495
13,689.96,16.73,0.9278925760428244,58.0,40.0,25.5675,0.3625,5.25,2.61,1600.0,2.0064516129032257,0.431225
14,1815.07,33.82,0.7400866515370332,141.0,40.0,67.26,0.88125,7.79,6.85,1600.0,1.1379310344827587,1.13441875
15,1484.48,25.21,0.92697132144625,107.0,40.0,55.009375,0.66875,6.29,6.09,1600.0,1.0332409972299168,0.9278
16,1258.69,20.77,0.9409421020778697,46.0,40.0,46.6425,0.2875,4.59,5.13,1600.0,0.8947368421052632,0.78668125
17,1042.53,19.97,0.9385790424708079,69.0,40.0,38.6325,0.43125,5.33,3.91,1600.0,1.3620689655172413,0.65158125
18,1409.09,22.92,0.9474370605579496,77.0,40.0,52.215625,0.48125,5.48,5.04,1600.0,1.0869565217391304,0.88068125
19,1355.91,24.2,0.9332822531025435,84.0,40.0,50.245,0.525,5.57,5.08,1600.0,1.0963455149501662,0.84744375
20,1502.22,30.85,0.8712924557833777,122.0,40.0,55.666875,0.7625,7.12,5.33,1600.0,1.3354430379746836,0.9388875
21,1343.29,25.05,0.938921308576481,87.0,40.0,49.7775,0.54375,5.43,5.08,1600.0,1.069767441860465,0.83955625
1,1260.48,22.32,0.9372327217547248,76.0,40.0,46.70875,0.475,5.7,4.39,1600.0,1.3,0.7878000000000001
2,1484.19,24.13,0.9393968508139845,97.0,40.0,54.99875,0.60625,5.48,5.04,1600.0,1.0869565217391304,0.92761875
3,1390.28,22.42,0.9499827129192117,78.0,40.0,51.51875,0.4875,5.21,5.19,1600.0,1.0032467532467533,0.868925
4,1322.56,22.42,0.9332341565010414,74.0,40.0,49.009375,0.4625,5.31,5.18,1600.0,1.0260586319218241,0.8266
