,label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized,category
1,2,5791.56,387.95,0.9573811993263964,172,80,53.6534375,0.5375,64.03,100.78,6400,0.6353092783505154,0.90493125,2
2,3,908.13,225.89,0.8924895158215783,138,80,8.41296875,0.43125,16.36,84.81,6400,0.1929555895865237,0.1418953125,1
3,4,5617.39,383.18,0.9499546494315492,170,80,52.04,0.53125,78.57,79.74,6400,0.985342019543974,0.8777171875,2
4,5,5635.44,348.17,0.9638657789368013,155,80,52.2071875,0.484375,78.96,77.53,6400,1.018425460636516,0.8805375,2
5,6,2035.2,287.87,0.8188585776330076,131,80,18.85421875,0.409375,42.86,73.38,6400,0.584070796460177,0.318,1
6,7,2.4,7.52,0.7513227513227513,1,80,0.0221875,0.003125,1.82,2.21,6400,0.8235294117647058,0.000375,0
0,1,6094.62,372.3,0.967739430150751,190,90,44.61123456790124,0.5277777777777778,73.12,96.62,8100,0.7567204301075269,0.7524222222222222,2
1,2,6042.24,400.28,0.95820483535765,196,90,44.227777777777774,0.5444444444444444,79.48,84.03,8100,0.945904173106646,0.7459555555555555,2
2,3,2016.74,457.16,0.8584279181294107,241,90,14.762098765432098,0.6694444444444444,23.51,140.52,8100,0.1672828096118299,0.2489802469135802,1
3,4,944.66,208.12,0.8973356617588157,106,90,6.914691358024691,0.2944444444444444,20.13,74.29,8100,0.270979020979021,0.1166246913580246,1
4,5,5982.04,442.94,0.9534557380574746,236,90,43.78716049382716,0.6555555555555556,79.35,94.03,8100,0.8439226519337016,0.7385234567901234,1
5,6,7497.42,433.96,0.951451718196509,204,90,54.879382716049385,0.5666666666666667,100.0,89.48,8100,1.1175616835994195,0.9256074074074074,2
6,7,4.76,17.12,0.5936842105263158,6,90,0.0348148148148148,0.0166666666666666,2.08,6.1,8100,0.3404255319148936,0.0005876543209876,0
7,8,12.84,20.49,0.7757390417940877,8,90,0.0939506172839506,0.0222222222222222,3.51,6.88,8100,0.5094339622641509,0.0015851851851851,0
0,1,166.18,85.23,0.7569913952059004,39,10,98.53,0.975,12.08,28.83,100,0.4189189189189189,1.6618000000000002,3
1,2,535.64,210.67,0.846970343503307,118,10,317.58,2.95,12.21,66.49,100,0.18359375,5.3564,3
